español,english
que,that
de,of
no,No
a,to
la,the
el,he
ser,be
y,and
en,in
lo,it
un,a
por,by
qué,that
me,me
un,a
te,tea
lo,it
se,HE
con,with
para,for
mi,my
estar,be
si,Yeah
bien,good
pero,but
yo,I
eso,that
la,the
sí,Yeah
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
esto,this
ya,already
todo,all
esta,this
ir,go
muy,very
haber,have
ahora,now
algo,something
estar,be
tener,have
nos,us
tú,you
nada,nothing
cuando,when
haber,have
este,this
saber,know
estar,be
así,So
poder,can
cómo,as
querer,want
sólo,only
ser,be
tener,have
gracias,thank you
o,either
él,he
bueno,Well
ser ir,be go
ser,be
hacer,do
ser,be
todo,all
ser,be
ser,be
vez,time
tener,have
creer,believe
ella,she
haber,have
ese,that
ir,go
poder,can
saber,know
hola,hello
su,his
porque,because
dios,God
quién,who
nunca,never
dónde,where
querer,want
casa casar,house marry
favor,favor
ese,that
dos,two
tanto,so much
señor,Sir
tiempo,time
verdad,TRUE
estar,be
mejor,better
estar,be
ir,go
hombre,man
usted,you
mucho,a lot
hacer,do
entonces,so
sentir sentar,feel sit
tener,have
poder,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
señor,Sir
hasta,until
sin,without
mí,my
solo,only
año,year
sobre,about
decir,say
uno,one
siempre,always
oh,oh
ir,go
cosa coser,thing sew
también,also
antes,before
haber,have
ni,neither
mi,my
día,day
estar,be
estar,be
noche,evening
nadie,nobody
otro,other
querer,want
parecer,seem
nosotros,us
poco,bit
padre,father
trabajo trabajar,work work
gente,people
mirar,look
ir,go
ser,be
les,them
donde,where
mismo,same
hacer hecho,do done
ellos,they
decir,say
pasar,pass
dinero,money
hijo,son
tal,such
otro,other
hablar,talk
seguro,sure
claro,clear
este,this
lugar,place
mundo,world
amigo,friend
esperar espera,wait wait
mierda,shit
haber,have
tu,you
saber,know
después,after
momento,moment
desde,from
fuera ir ser,out go be
cosa coser,thing sew
tipo,guy
mañana,tomorrow
poder,can
decir,say
grande,big
necesitar,need
estar estado,be state
poder,can
acordar acuerdo,agree agreement
papá,dad
tener,have
decir,say
mío,mine
creer,believe
bueno buena,good good
gustar,like
nuestro,our
nuevo,new
ser,be
hacer,do
día,day
nombre,name
bueno,Well
haber,have
